ZOOM,PRUEBA,MODEL,BATCH_SIZE,EPOCH,CURRENT_LOSS,ACCURACY,ESTRATO_1,ESTRATO_2,ESTRATO_3,ESTRATO_4,ESTRATO_5,ESTRATO_6,NO_DEFINIDO,PRECISION,RECALL,F1_SCORE,MEAN_IOU,RUN_TIME
13_COMPOUND,8,MobileUNet,1,70,0.0,0.3720247285714286,0.04069651428571428,0.18607477142857146,0.11400402857142855,0.00012158571428571428,0.007244414285714286,0.5,1.0,0.5783081010255932,0.3720247541155134,0.42092630399916947,0.0913810737469258, 0 hours 15 minutes 0 seconds
13_COMPOUND,9,MobileUNet,2,70,0.0,0.3304160714285714,0.009879100000000005,0.16649447142857143,0.20682839999999997,0.012692828571428571,0.021513071428571433,0.5357142857142857,1.0,0.42756325694798447,0.3304161071777344,0.34316788510140156,0.0873673849263199, 0 hours 13 minutes 30 seconds
13_COMPOUND,10,MobileUNet-Skip,1,70,0.0,0.5463937571428571,0.1023816,0.2296284142857143,0.5008691428571428,0.15683891428571436,0.03298725714285716,0.5,1.0,0.6254643912707608,0.546393803187779,0.5499679505221732,0.18973872035959277, 0 hours 22 minutes 37 seconds
13_COMPOUND,11,MobileUNet-Skip,2,70,0.0,0.5009716571428571,0.1459165285714285,0.10528728571428574,0.6690882000000001,0.024369085714285713,0.028724657142857157,0.5,1.0,0.6074115495334986,0.5009716578892299,0.5014892415885251,0.16542630543747552, 0 hours 14 minutes 36 seconds
14_SIMPLE,1,FC-DenseNet56,1,50,0.618616,0.6991159,0.1114496,0.4641774400000001,0.8196939599999997,0.50625336,0.017547140000000003,0.8036152399999998,1.0,0.7731231185121645,0.6991159362792968,0.7086216375391851,0.2865529842609773, 0 hours 50 minutes 29 seconds
14_SIMPLE,2,FC-DenseNet56,1,70,0.5398671428571427,0.6944196714285715,0.12471767142857144,0.33231307142857147,0.8370591285714287,0.5037725000000001,0.019270628571428566,0.8055789999999998,1.0,0.7592151465224509,0.6944196428571426,0.7031060945032716,0.283655292770968, 0 hours 58 minutes 30 seconds
14_SIMPLE,3,Encoder-Decoder,1,70,0.6843514285714287,0.5806084428571429,0.12694648571428577,0.3737272285714285,0.6745631857142859,0.5023723285714287,0.005876228571428571,0.801144042857142,1.0,0.63761175139207,0.5806084551130023,0.579926466893229,0.21485820225200655, 0 hours 57 minutes 48 seconds
14_SIMPLE,4,Encoder-Decoder,2,70,0.8067500000000002,0.5715899999999999,0.11858085714285713,0.25130338571428573,0.7188059000000001,0.5176148857142859,0.0027977285714285713,0.8001243571428566,1.0,0.5942428048350545,0.5715900094168525,0.5618324140669066,0.20303584025797025, 0 hours 50 minutes 38 seconds
14_SIMPLE,5,Encoder-Decoder-Skip,1,70,0.39752142857142864,0.6898288857142856,0.16712911428571423,0.3611280999999999,0.8188876142857142,0.5669589571428569,0.05676332857142857,0.8105703714285715,1.0,0.7182913917348159,0.689828818184989,0.6803320660990259,0.29154280218434925, 1 hours 15 minutes 23 seconds
14_SIMPLE,6,Encoder-Decoder-Skip,2,70,0.5411814285714286,0.6711535428571427,0.13804879999999997,0.34690792857142855,0.7850843428571426,0.5438276571428571,0.026044471428571428,0.8120280857142854,1.0,0.6889608397408664,0.671153542654855,0.6609901081382884,0.2730808931373184, 0 hours 53 minutes 49 seconds
14_SIMPLE,7,FRRN-A,1,70,0.2247628571428572,0.6798143142857145,0.2162366428571428,0.35508412857142857,0.7608366714285716,0.5495844285714286,0.08800554285714288,0.801125585714285,1.0,0.696562854178978,0.6798142787388395,0.6668564464279779,0.2896209114368687, 1 hours 11 minutes 12 seconds
14_SIMPLE,8,MobileUNet,1,70,1.0903314285714287,0.47327994285714287,0.1020321428571428,0.18889601428571434,0.5872889142857144,0.5010248142857143,0.00923644285714286,0.8073065428571421,1.0,0.5802990496537145,0.47327989850725455,0.4924596831074709,0.1408560639909913, 0 hours 37 minutes 47 seconds
14_SIMPLE,9,MobileUNet,2,70,1.2435428571428577,0.4811596142857143,0.11572021428571429,0.08329411428571429,0.6751096000000001,0.5040221428571428,0.009172500000000002,0.8032266571428559,1.0,0.5667017573995566,0.4811596025739396,0.4948637921469468,0.1458402385005998, 0 hours 33 minutes 36 seconds
14_SIMPLE,10,MobileUNet-Skip,1,70,0.5495000000000001,0.6732760714285715,0.11743244285714287,0.34938964285714286,0.773707757142857,0.5377199285714286,0.009077914285714285,0.8145588285714285,1.0,0.7046947971136361,0.6732760402134484,0.6710978285603948,0.2738332434597988, 0 hours 36 minutes 49 seconds
14_SIMPLE,11,MobileUNet-Skip,2,70,0.8027114285714289,0.6337127285714285,0.10329892857142857,0.2503503285714285,0.7422211857142859,0.593217242857143,0.04231707142857144,0.8434303571428572,1.0,0.6533542413677906,0.633712659563337,0.6219950821762874,0.2502994240393889, 0 hours 35 minutes 42 seconds
14_COMPOUND,1,FC-DenseNet56,1,50,0.5734980000000001,0.6939251800000001,0.12534818,0.4590225600000001,0.8065517400000002,0.50393502,0.0196492,0.8081000000000002,1.0,0.7771376276911952,0.6939251708984376,0.7035903252541434,0.28661025258924777, 0 hours 42 minutes 4 seconds
14_COMPOUND,2,FC-DenseNet56,1,70,0.4973928571428571,0.6994652000000001,0.12286642857142854,0.4708071428571428,0.7965939571428572,0.5228113714285714,0.06561668571428572,0.8051671857142858,1.0,0.761331742238543,0.6994652230398994,0.7034824495815232,0.29473478868973974, 0 hours 58 minutes 30 seconds
14_COMPOUND,3,Encoder-Decoder,1,70,0.6638114285714286,0.5965156285714288,0.11776967142857145,0.3158858142857143,0.7440526,0.5225752142857143,0.013311857142857141,0.8003702714285712,1.0,0.644523133963764,0.596515611921038,0.5991349925586421,0.22006455307191386, 1 hours 15 minutes 18 seconds
14_COMPOUND,4,Encoder-Decoder,2,70,0.7889199999999997,0.585082257142857,0.12113230000000004,0.29873368571428566,0.7123886000000003,0.5147972428571429,0.004788185714285714,0.8003443142857138,1.0,0.6221000799637026,0.585082310267857,0.5817817059001431,0.2102570029029738, 0 hours 53 minutes 51 seconds
14_COMPOUND,5,Encoder-Decoder-Skip,1,70,0.4345914285714286,0.6861778428571427,0.15042865714285714,0.3437239571428572,0.818786514285714,0.5643902857142857,0.05176871428571431,0.8017907999999997,1.0,0.7291653332968827,0.6861778695242747,0.6822412298498085,0.2822698052314048, 0 hours 57 minutes 47 seconds
